Lat,Long,title,caption
48.2246726496,-27.94921875,Nurse log - Rebecca Gransbury,"Where trees have been felled to creating a clearing in the canopy, they are sometimes left in situ because a decaying tree makes a great habitat.  Often referred to as nurse logs, many plants, fungi and animals benefit from the shade, shelter and the nutrients they provide."
49.4966745275,-13.798828125,Sweet chestnut at woodland edge - Richard Kedward,"Because sweet chestnut (Castanea sativa) grows relatively fast it can often look older than its true age, especially when compared with slow growing oak (Quercus spp.)  This specimen measures 4.1m around the girth and yet it is probably no more than 150 years old."
62.7144621015,-15.64453125,Charcoal Burner - Sally Goldsmith,null
18.5629474429,-77.34375,Bird song - Sue Unwin,null
56.8008783123,-10.810546875,,null
34.7416124988,263.232421875,Veteran rowan - Fran Halsall,"Although this particular rowan, or mountain ash, (Sorbus aucuparia) is not a large tree, compared with its taller neighbours, it is still potentially quite old.  Because it is such a slow-growing tree a trunk girth of just 1.5m makes it a likely veteran, an assessment supported by the presence of emerging basal shoots.  "
58.5395947666,-41.572265625,Veteran beech - Fran Halsall,"There are several large beeches (Fagus sylvatica) in the woods and at 3.9m around the girth, this is one of the biggest. Although the only way to truly know a tree's age is to count its rings, a rough estimate would place this beech between 200 and 300 years old."
65.3668368923,-11.6015625,Twisted hornbeam - Fran Halsall,"Hornbeam (Carpinus betulus) was introduced to northern Britain from the south, like the beech (Fagus sylvatica) it so closely resembles.  It was planted here for both its durable timber and for its attractive ornamental qualities."
84.3542995777,-37.79296875,Sweet chestnut and scots pine - Fran Halsall,"Large trees usually stay out of each other's way, however this Scot's pine (Pinus sylvestris), an evergreen conifer, is being embraced by a sweet chestnut (Castanea sativa). Both species were extensively planted in the woods during the 19th century, when coppicing was abandoned in favour of producing large timber for industry.  "
-15.7076627696,-40.60546875,Veteran coppiced oak - Fran Halsall,"It is almost impossible to provide an accurate age for a coppiced tree, however this oak (Quercus spp.) offers a few clues. The height of the coppice stool - the base from which the two stems grew - indicates multiple cycles of cutting and regrowth. It has then had many decades to regrow into a full-sized tree. 300 - 400 years old is a reasonable guestimate."
77.5231217902,9.4921875,Veteran oak - Fran Halsall,"Trunk girth alone can reveal only so much about this oak's (Quercus spp.) age.  Its environment has to be considered, as a tree located inside shady woodland will grow much more slowly than one in a sunny spot.  At 3.5m, and surrounded by mature woodland, this oak is possibly 300 years old. "
51.7814356044,-18.984375,Slumped beech - Fran Halsall,"With its slumped shape and 3.75m girth this is a particularly striking beech (Fagus sylvatica). It is possible that it is a 'lapsed' coppice, although there could be other natural causes that would account for the unusual growth habit."
83.0687741347,-39.111328125,Multistem hazel- Sue Unwin,"Providing both nuts and fast-growing timber, hazel (Corylus avellana) was important to those who once made their living from the woods.   Coppicing encourges the growth of more stems and, when done at regular intervals, prolongs hazel's lifespan from 80 to two hundred years or more."
65.2934678011,47.724609375,Common beech - Sue Unwin,"Beech (Fagus sylvatica) is recognisable by its grey, often smooth, bark and its dominating stature.  These trees have shallow roots and their prominence at the surface is another identifying characteristic. "
51.727028157,-12.919921875,Sweet chestnut and clearing - Dan Sumption,A large two-stemmed coppiced sweet chestnut (Castanea sativa) frames the view into a large woodland clearing.   This species was introduced into these woods approximately 190 years ago as a fast growing alternative to oak.
73.4033376629,-31.728515625,Wood anemone - Nadine Grundy,"Wood anemone (Anemone nemorosa) is among the earliest spring flowers, appearing in March - April, and spreading out to form a carpet that thrives in light shade. This is a five-petalled flower, six or seven petals are more common.  "
56.0720354718,-10.72265625,Collier's pond - Bracken Moorland,"The Collier's Pond was created on the site of an abandoned ganister mine in 2009 and quickly became an important habitat. Beyond the hazel screen or 'hurdle', pendulous sedge (Carex pendula) and yellow-flowered flag iris (Iris pseudacorus) thrive on the damp pond margins. "
81.1609960899,1.142578125,Common beech - Lynne Chapman,"As with all trees, an increasingly gnarled look is a sign of greater age; even smooth-barked beech (Fagus sylvatica) is no exception.  Other signs to look for include:  crevices, dead wood in the crown, and plants/fungi growing on the tree."
58.5854356912,-23.02734375,null,null
55.6279959543,-13.798828125,null,null
61.7731228645,-11.337890625,null,null
